Patent Summary,Result
"본원에서는 핸드폰 충전함이 개시된다. 본 발명의 실시예에 따른 핸드폰 충전함은 개방된 일면이 도어에 의해 개폐되고, 상기 일면의 테두리로부터 연장된 걸림판이 형성된 함체와 상기 도어에 배치되고, 일단은 고정대에 고정되고 타단은 상기 고정대의 밖으로 연장되되 상기 고정대로부터 분리될 수 있어, 상기 일단을 중심축으로 회전되어 상기 걸림판에 형성된 장공에 걸림편의 삽입여부를 조절하는 회전대를 포함하는 잠금장치와 상기 함체의 내부를 가로질러 배치되는 받침판과 상기 받침판에 한 개 이상이 수직하게 배치되어 공간을 나누는 구획지지부와 상기 함체의 내부에 배치되고, 복수 개의 핸드폰에 대하여 전류를 분배 공급할 수 있는 복수 개의 충전분배부 및 상기 함체로부터 복수 개의 분배 스위치가 노출되도록 배치되고, 상기 분배 스위치의 조작에 의해 외부로부터 공급받는 전원을 상기 복수 개의 충전분배부에 선택적으로 공급할 수 있는 전원제어부를 포함한다.",등록
"주파수 스위칭 및 임피던스 튜닝 가능한 핸드폰 안테나 모듈 및 이의 사용방법이 개시된다. 본 발명의 스위칭 및 튜닝 가능한 핸드폰 안테나 모듈은 신호를 송수신하는 안테나; 상기 안테나와 연결되어 복수 개의 주파수 대역을 선택하여 송수신하는 SPnT(Single-Pole-n-Throw) 또는 DPnT(Double-Pole-n-Throw) 형식의 스위치 어블 솔루션칩(Swithchable Solution Chip); 상기 안테나와 스위치 어블 솔루션 칩에서 분기 연결된 튜너블 솔루션 칩(Tunable Solution Chip); 상기 안테나에 출력 신호를 방사하는 신호 소스(Feeding); 및 상기 안테나가 실시간으로 송신 또는 수신하는 신호를 기준 안테나의 방사 레벨 또는 수신 레벨과 비교하여 그 차이만큼 보상하기 위하여 상기 스위치 어블 솔루션 칩 및 튜너블 솔루션 칩에 제어 신호를 전송하는 메인 칩과 컨트롤러로 구성되는 칩셋을 포함한다. 본 발명에 따르면, 스위치 어블 솔루션 칩(Switchable Solution Chip)이 갖는 주파수 이동 특성 및 튜너블 솔루션 칩(Tunable Solution Chip)이 갖는 안테나 메칭(matching)이 모두 가능하며, 국가마다 제작했던 핸드폰을 단일의 글로벌 핸드폰으로 구현이 가능하며, 소비자의 인체 접촉으로 인한 특성 열화를 폐쇄 루프 시스템(Closed-Loop System)으로 자동으로 핸드폰이 인지해주므로 핸드폰의 특성 열화를 극복 및 개선할 수 있다.",등록
"본 고안은 구부러질 수 있는 재질인 사각판으로 이루어지되, 사각판의 일단부에 끼움홀이 관통 형성되고, 사각판의 중간부에 삽입홀이 관통 형성되며, 사각판의 타단부에 끼움돌기가 절개 형성되고, 사각판의 일단부를 타단부 아래쪽으로 구부려 끼움돌기가 끼움홀에 끼움 결합되어 사각판이 통대로 변형되고, 통대의 상측에 위치하게 된 삽입홀에 핸드폰의 하부를 삽입시켜 거치시키는 것을 특징으로 하는 핸드폰 거치대를 제공한다. 본 고안에 의하면, 휴대와 보관이 간편하여 시간과 장소의 제한없이 사용 가능하고, 통대로 간단히 변형시켜 핸드폰을 쉽게 거치할 수 있으며, 외측면에 인쇄가 가능하여 정보나 광고 등의 홍보 효과를 제공할 수 있고, 별도의 전원 공급이 없어도 스마트폰에서 출력된 사운드를 공명시켜 맑고 선명한 출력음을 생동감있게 청취할 수 있는 효과가 있다.",등록
"본 발명은, 기판의 해당부분을 가압하며 외부에서 터치 가능한 다수의 키를 일체로 구비하는 핸드폰용 박막형 평면 키패드에 있어서, PET, PP, PEA 또는 PC 등의 합성 수지 재료로 형성되는 필름으로서, 일면에 핸드폰 키(key) 용 숫자, 부호 및 문자가 인쇄되어 형성되는 표식부(2)가 형성되는 제 1 필름(1)과, PET, PP, PEA 또는 PC 등의 합성 수지 재료의 배면 상에 실리콘을 성형 압착하여 복수의 스위치 돔(4)이 형성된 제 2 필름(3)을 포함하며, 상기 제 1 필름(1)과 상기 제 2 필름(3)을 바인더(5)로 접착하여 형성되는 것을 특징으로 하는 핸드폰용 박막형 평면 키패드 및 이의 제조 방법에 관한 것이다. 키패드, 평면, 실리콘, 리브",거절
"가상 현실 핸드폰은 전면에 디스플레이를 포함하는 메인 몸체, 메인 몸체를 역전 가능하게 수용하는 메인 프레임, 메인 프레임의 후면으로부터 가변 가능한 거리를 유지할 수 있는 접안 플레이트, 그리고 메인 프레임 및 접안 플레이트 사이에 개재되며 메인 프레임에 대해 접안 플레이트가 밀착된 밀착 상태 및 소정의 거리를 유지하는 이격 상태 간에 접안 플레이트를 이동시키는 스크린 및 거리 조절 부재를 포함하고, 접안 플레이트가 이격 상태에 있는 경우, 역전된 메인 몸체의 디스플레이가 후방을 향하도록 하여 가상 현실 기능을 구현할 수 있다.",등록
"가상 현실 겸용 핸드폰 케이스는 핸드폰 몸체를 고정하는 케이싱, 케이싱의 후면으로부터 가변 가능한 거리를 유지할 수 있는 접안 플레이트, 및 케이싱과 접안 플레이트 사이에 개재되며 케이싱에 대해 접안 플레이트가 밀착된 밀착 상태 및 소정의 거리를 유지하는 이격 상태 간에 접안 플레이트를 이동시키는 스크린 및 거리 조절 부재를 포함하여, 가상 현실 기능을 구현할 수 있다.",등록
"본 고안은 핸드폰의 핸즈프리 연결단자에 기존의 이어-마이크폰을 연결하여 사용할 수 있도록 한 핸드폰용 이어-마이크폰 커넥터에 관한 것으로서, 몸체(1), 상기 몸체(1)의 일단부에 돌출 형성된 제 1 연결단자(3), 및 상기 몸체(1)의 타단부 내부에 형성된 제 2 연결단자(7)를 포함하고, 상기 제 1 연결단자(3)는 핸드폰(30)의 핸즈프리 연결단자(33)에 끼워맞춤되며, 상기 제 2 연결단자(7)에는 이어-마이크폰(20)의 연결잭(23)이 끼워맞춤되는 것을 특징으로 하며, 기존의 구형 핸드폰에도 이어-마이크폰을 적용하여 이용할 수 있는 효과를 발휘한다.",거절
"본 발명은 핸드폰의 양방향 충전기에 관한 것으로서, 더욱 상세하게는 별도의 배터리 또는 전력 공급 없이도, 두 개의 사용자단말기를 연결하는 충전 케이블을 이용하여, 하나의 사용자 단말기로부터 전력을 공급받아, 다른 하나의 사용자 단말기를 충전할 수 있는 효과를 갖는 핸드폰의 양방향 충전기에 관한 것이다.",등록
"본 발명의 선풍기 내장형 핸드폰 케이스에 의하면, 단말기의 일면이 맞닿아 수용되는 프레임; 상기 프레임에 분리가능하게 결합되고, 일단에 회전가능하도록 구비되는 날개결합부와, 타단에 단말기와 연결되는 연결포트를 포함하는 선풍기막대; 및 상기 프레임에 분리가능하게 결합되고, 일단이 상기 날개결합부에 각각 결합되어 회전하는 복수개의 선풍기날개를 포함한다. 본 발명에 따른 선풍기 내장형 핸드폰 케이스에 의하면, 선풍기 케이스에 선풍기 막대와 선풍기 날개를 각각 보관 가능하도록 구성되어, 지속적으로 휴대용 선풍기를 휴대할 수 있으며, 필요시에 선풍기 막대와 선풍기 날개를 핸드폰 케이스로부터 분리시켜 상호 결합하여 간편한 방법으로 휴대용 선풍기로 이용할 수 있어 사용효율을 향상시킬 수 있다. 또한 선풍기 막대에 연결포트가 구비되어, 휴대용 선풍기를 단말기의 연결포트에 연결시켜 단말기의 배터리를 이용하여 전원을 사용함으로써 배터리를 미리 충전하지 않은 경우에도 사용가능하고, 단말기와 휴대용 선풍기를 한손에 파지할 수 있어 다른 손의 사용이 자유로워 휴대성이 증대될 수 있다.",등록
"본 고안은 보호 커버가 구비된 차량용 핸드폰 거치대에 관한 것으로서, 핸드폰 거치대가 포함되고, 해당 핸드폰 거치대에는 프레임 시트식의 보호 커버가 연결되며, 또한 해당 보호 커버는 일체형으로 위로부터 아래로 연장되고 후방과 하부를 노출시키는 커버이다. 해당 보호 커버를 통하여 핸드폰이 해당 핸드폰 거치대에 거치되고, 또한 해당 핸드폰 거치대가 차체에 고정될 때 대부분의 바람과 비를 막을 수 있다. 그리고 프레임 시트식 설계는 안정적이고 신뢰성있는 보호 작용을 제공할 수 있다.",거절
"본 고안은 복수개의 일,타측결합본체부로 구비된 폴더핸드폰의 외측면에 결합되도록 구비된 제1,2커버와, 제1,2커버의 전,후방에 결합되는 제1,2결합힌지로 연결하여서, 폴더핸드폰의 일,타측결합본체부에 결합되는 제1,2커버를 제1,2결합힌지로 결합되어 폴더핸드폰의 외측면이 제1,2커버의 내측면에서 밀림을 방지하여 폴더핸드폰의 일,타측결합본체부의 외측면이 제1,2커버의 내측면과 마찰되어 발생되는 폴더핸드폰의 일,타측결합본체부 외측면에 발생되는 스크래치발생을 방지하도록 한 폴더핸드폰에 결합되는 제1,2커버를 결합힌지로 결합되어 폴더핸드폰의 외측면 밀림을 방지하도록 구비된 핸드폰 케이스에 관한 것이다.",등록
"핸드폰 거치대를 포함하는 기능성 베개가 제공된다. 핸드폰 거치대를 포함하는 기능성 베개개는, 기능성 베개와, 기능성 베개의 X축 반대방향인 후면부에 결합되고, 높이 조절부를 받쳐 지지하는 설치 안내부와, 설치 안내부에 결합되고 거치부의 높이를 조절하는 높이 조절부 및 높이 조절부에 연결되고, 핸드폰을 거치하는 거치부를 포함한다.",거절
핸드폰 배터리 충전을 조금 더 쉽게 하기위해 핸드폰 케이스에 무선 충전기가 내장되어 있음으로 써 복잡하지 않고 손쉽게 충전을 할 수 있습니다.,거절
"본 발명은 UV 조사코팅층이 형성된 핸드폰 제조 작업공정용 보호필름의 제조방법에 관한 것으로서 보다 상세하게 설명하면 점착제층이 제거될 수 있도록 보호필름 표면의 가장자리에 UV 조사코팅층이 형성되어 있어 핸드폰의 제조 작업공정 중에서 핸드폰의 표면에 투명한 합성수지 재질의 보호필름을 부착하여 핸드폰의 외형을 보호하도록 핸드폰에 보호필름을 부착한 후 다시 다른 작업공정에서 이미 부착된 보호필름을 떼어내서 제거하는 경우 핸드폰의 표면에서 보호필름을 떼어내기가 용이하며, 점착제층에서 점착제가 흘러나오거나 밀려나오는 것을 방지할 수 있으며, 더 나아가서 점착제층에서 흘러나오거나 밀려나오는 점착제 성분에 의하여 다른 이물질이 보호필름에 부착되는 것을 방지할 수 있는 UV 조사코팅층이 형성된 핸드폰 제조 작업공정용 보호필름의 제조방법에 관한 것이다.",등록
"본 고안은 다용도 핸드폰 커버 거치대에 관한 것으로, 보다 상세하게는 커버부의 후면에 자전거용 거치부를 결합시키면 자전거에서 사용할 수 있고, 커버부의 후면에 탁상용 거치부를 결합시키면 탁상에서 사용할 수 있어 다용도 거치대로 사용할 수 있음은 물론, 상기 커버부의 후면에 구비된 원형의 홈 형태인 고정구에 자전거용 원형결합구 또는 탁상용 원형결합구 삽입돌기를 삽입시킨 다음, 사용자가 외력을 가해 회전시키며 고정하는 방식으로, 간편하게 체결가능하고, 상기 자전거용 원형결합구의 경우 락킹부재를 더 포함하여, 자전거가 달리는 중에도 핸드폰 거치대의 고정력을 현저히 향상시킬 수 있는 다용도 핸드폰 커버 거치대에 관한 것이다. 본 고안인 다용도 핸드폰 커버 거치대는 전면에는 핸드폰이 결합되고, 후면에는 자전거용 거치부 또는 탁상용 거치부가 결합되도록 원형의 홈 형태로 구성된 고정구가 일체로 형성된 커버부; 상기 커버부의 고정구에 탈착되며, 자전거에 핸드폰을 고정시키도록, 상기 고정구에 결합되는 자전거용 원형결합구; 상기 자전거용 원형결합구 후면에 일측이 결합되고 타측이 자전거결합구에 힌지결합되는 연결구; 및 상기 연결구 타측에 힌지 결합되는 자전거결합구; 를 포함하는 자전거용 거치부; 상기 커버부의 고정구에 탈착되며, 탁상에 핸드폰을 세워둘 수 있도록, 상기 고정구에 결합되는 탁상용 원형결합구; 상기 탁상용 원형결합구 후면에 일체로 형성되되, 힌지결합 되어 사용자의 조작에 의해 액자와 같이 탁상에 세워둘 수 있도록 하는 지지구; 를 포함하는 탁상용 거치부; 를 포함하고, 상기 커버부의 후면에 상기 자전거용 거치부를 결합시키면 자전거에서 사용할 수 있고, 상기 커버부의 후면에 상기 탁상용 거치부를 결합시키면 탁상에서 사용할 수 있으며, 상기 고정구는 원형의 홈 형태로 구성되되, 상기 홈을 구성하기 위하여 상기 홈 주변에 두께를 주어 단차를 발생시키고, 상기 홈의 하면과 이격된 단차의 말단에 복수개의 고정돌기가 형성되며, 상기 고정돌기의 사이에는 복수개의 삽입공간이 형성되고, 상기 자전거용 원형결합구 및 탁상용 원형결합구는 상기 삽입공간에 삽입되는 복수개의 삽입돌기가 형성되고, 상기 삽입돌기와 이격되어 형성된 상면과 상기 삽입돌기 사이에는 상기 고정돌기가 고정되는 고정공간이 형성되며, 상기 고정구의 삽입공간에 맞춰 상기 자전거용 원형결합구 또는 탁상용 원형결합구 삽입돌기를 삽입시킨 다음, 사용자가 외력을 가해 회전시키면 상기 삽입돌기가 상기 고정돌기에 고정되고, 상기 고정돌기는 상기 고정공간에 위치하게 되며 상기 고정구와 자전거용 원형결합구 또는 탁상용 원형결합구가 결합되는 것을 특징으로 한다.",등록
"본 고안의 무드 등을 부착한 핸드폰 케이스는, 핸드폰을 끼워서 보호 할 수 있는 삽입부; LED와 개성적인 패턴을 넣어 만든 무드 등; 핸드폰에 가해진 충격을 완화시켜주는 완충부; 를 포함한다. 본 고안에 따른, 밤에 사용하는 무드 등을 핸드폰 케이스에 장착함으로써 사용자가 공간이용을 효율적으로 할 수 있는 효과가 있다. 또한 대부분의 사람들이 거의 매일 사용하는 핸드폰이기에 간편하게 사용할 수 있게 무드 등을 장착한 핸드폰 케이스를 제공하는 효과가 있다.",거절
"본 발명은 차량의 스티어링컬럼을 감싸도록 설치된 컬럼커버에 장착되어 핸드폰을 거치할 수 있게 함에 따라 핸드폰이 핸들과 가깝게 설치됨으로 안전운행에 도움을 줄 수 있고, 핸드폰의 위치가 송풍구를 피할 수 있는 부분으로 조절될 수 있어 핸드폰이 송풍구를 통해 공급되는 냉기나 온기에 의해 손상되지 않게 할 수 있게 한 차량의 스티어링 컬럼커버에 설치되는 핸드폰 홀더 거치대에 관한 것이다.",등록
"본 발명은 차량용 핸드폰 어댑터에 대한 것으로서, 특히, 아이폰과 일반 스마트폰을 동시에 충전할 수 있는 차량용 핸드폰 어댑터에 관한 것이다. 이를 위해, 본 발명은 차량의 시거 라이터 소켓으로부터 전원을 입력받는 입력 단자와, 상기 입력 단자에 인가된 전원을 변환하여 출력하는 충전 모듈을 포함하고, 상기 충전 모듈은 상기 입력 단자에 인가된 전원을 변환하는 컨버터와, 상기 컨버터에서 출력된 컨버터 출력 전원을 인가받는 다수의 커넥터를 포함하되, 상기 다수의 커넥터는 서로 상이한 휴대폰의 충전 모드 진입 신호를 충족시키는 것을 특징으로 하는 차량용 핸드폰 어댑터를 제공한다. 또한, 이에 따라, 본 발명은 차량의 시거 라이터 소켓으로부터 인가된 전원을 아이폰과 일반 스마트폰에 맞게 변환하여 하나의 어댑터로 아이폰과 일반 스마트폰을 모두 빠르고 안정적으로 충전할 수 있는 차량용 핸드폰 어댑터를 제공할 수 있다.",등록
"본 발명은 핸드폰용 양방향 무선이어폰 장치에 관한 것으로서, 더 상세하게는 기존 핸드폰의 이어폰 잭에 연결되는 소형 송/수신단말기가 핸드폰으로 부터 걸려오는 전화 및 거는 전화를 인식하여 무선이어폰 단말기와 쌍방향 통신이 가능하도록 하여 통화의 질을 향상시킬 수 있도록 한 핸드폰용 양방향 무선이어폰 장치에 관한 것이다. 그 구성은 핸드폰의 이어폰 잭과 연결되는 송/수신 단말기와; 상기 송/수신 단말기에 대응하는 송/수신장치를 구비하여 상호 고유한 ID로 송/수신이 가능하도록 하며, 일면에는 귀에 삽입 가능한 삽입부가 구비되며, 타면에는 통화의 유무를 결정하기 위한 통화버튼과 같은 버튼부가 구비되는 본체부와; 상기 본체부로 부터 연장돌출되어 본체부의 일면이 귀에 삽입되어 고정되도록 구비되는 걸이부와; 상기 본체부가 사용자의 귀에 고정삽입된 상태에서 본체부의 저면으로 부터 연장되어 선단이 사용자의 입부분까지 위치되며, 그 선단에 송신기가 설치된 마이크부와; 상기 송/수신 단말기로 부터 착.발신의 전파를 송.수신할 때, 이를 사용자가 인식할 수 있도록 한 인식부와; 상기의 구성에 의해 일련의 작동을 제어할 수 있도록 본체부에 매설되는 제어부로 이루어진 것이다. 따라서, 본 발명의 구성에 의하면 특성인 사용 및 휴대편의성은 물론 양방향 통신이 가능함으로 무선이어폰 단말기 자체에서 통화의 착발신이 가능하며, 무선이어폰 단말기 자체에서 착신신호의 인식이 가능하며, 음성통화 상태 및 단말기의 이 탈상태등을 자동적으로 체크하는 기능이어서 기존의 제품들과 같이 사용자가 직접 통화 완료시 종료 버튼을 눌러야 하는 불편함을 제거하여, 사용자의 부주의로 통화종료 버튼을 누르지 않아 통화상태가 계속유지되어 밧데리가 불필요하게 소모되는 것을 방지할 수 있다. 또한, 여러 제조사와 그 제조사마다의 다양한 종류의 핸드폰에서도 모두 호환이 가능하도록 하여 제품의 범용성이 우수하여 그 활용이 매우 우수한 발명인 것이다. 핸드폰, 무선이어폰 단말기",거절
"본 발명은 핸드폰 구동방법에 있어서, 상기 네비게이션 터치스크린(110)의 셀좌표(x축, y축)에 대한 데이터를 입력받아 핸드폰 터치스크린(310)의 셀좌표(x'축, y'축)와 각각 매칭시키는 단계와, 상기 네비게이션의 터치스크린(110)으로 부터 터치가 발생하면 상기 터치된 부분의 특정셀좌표(nx축, ny축)를 입출력인터페이스(170)를 통해 핸드폰(300)으로 전송하는 단계와, 상기 입출력인터페이스(170)를 통해 입력된 입력정보를 핸드폰 터치스크린(310)의 특정셀좌표(nx'축, ny'축)로 인식하는 단계와, 상기 변환된 특정셀좌표에 대응하는 출력정보를 입출력인터페이스(170)를 통해 네비게이션의 모니터(101)에 전송하여 디스플레이하는 단계로 이루어진 터치스크린을 구비하는 이종기기의 디스플레이를 입출력장치로 이용하기 위한 핸드폰 구동방법을 제공하기 위한 것으로, 본 발명은 핸드폰을 보다 큰 화면으로 출력할 수 있도록 함과 동시에 PMP나 LCD, 네비게이션 등과 같은 이종기기 단말기의 모니터를 입력수단으로도 활용할 수 있도록 함으로써 핸드폰을 보다 다양하고 편리하게 활용할 수 있는 매우 유용한 발명인 것이다. 터치스크린, 네비게이션, 핸드폰",거절
"본 발명은 핸드폰 케이스 등의 외부표면에 필요한 색상을 도포하고 그 상부에 코팅하는 자동화 장비에 사용되는 장치로서 육안으로 확인하기 힘든 핸드폰 케이스의 코팅여부를 기구적으로 확인할 수 있도록 구성시킨 핸드폰 케이스 표면코팅 유무확인 장치에 관한 것이다. 즉 다수개의 지주(11) 내측에 안내홈(14)을 형성시킨 조절편(13)을 고착하고 그 상부에 장착판(12)을 장착시킨 본체(10)의 장착판(12) 중심부에 내경이 암나사로 구성된 조절구(23)를 고정시켜서 외경이 수나사로 구성된 조절축(21)을 체결시킨 조절장치(20)를 구성하여 양측 끝단에 안내홈(14)에 삽입되는 안내돌기(33)를 돌출시킨 기준판(31)으로 구성되는 기준장치(30)를 형성하고, 복수개의 탄성체(45)를 상하로 구비시킨 탄성축(44)을 대칭이 되도록 하여 하부에 외경에 다수개의 돌기(43)를 형성시킨 검사롤러(41)의 기준축(42) 양측에 고정시키고 상부로 고정편(46)을 장착시켜서 탄성장치(40)를 구성한 구조이다. 핸드폰 케이스, 표면코팅 유무확인 장치, 스프레이 건, 검사롤러",등록
"본 고안은 핸드폰 또는 스마트폰의 밧데리 충전포트에 연결하여 사용하는 내시경 카메라에 관한 것이다. 기계나 장비의 내부를 들여다 볼 수 있는 내시경 카메라가 있으나 이것은 내시경 전용 장비이기 때문에 고가이고 또 부피가 크기 때문에 휴대하기가 곤란하다. 요즘 모든 사람이 휴대하고 있는 핸드폰 또는 스마트폰의 화면을 디스플레이 화면으로 이용하는 내시경 카메라 라고 하면 쉽게 휴대가 가능하여 핸드폰이나 스마트폰을 휴대하고 있는 모든 사람이 편리하게 사용할 수 있는 장점이 있다. 사실 자신의 눈으로 볼 수 없는 자신의 인체의 각 부[입속, 목, 등, 항문등]의 상태를 자신의 눈으로 확인하고 싶을 때가 상당히 많다. 본 고안은 핸드폰 또는 스마트폰의 밧데리 충전포트에 맞는 내시경 카메라를 구성해서 핸드폰이나 스마트폰의 밧데리 충전 포트에 본 고안의 내시경 카메라를 꽂아 사용할 때 핸드폰 또는 스마트폰이 내시경 카메라 신호의 디스플레이어기 또는 녹화기로 작동하도록 한 것이다. 본 고안에 따른 내시경 카메라는 핸드폰 또는 스마트폰의 밧데리 충전 포트에 연결하여 사용하면서 핸드폰이나 스마트폰의 화면을 모니터로 사용하고 또 핸드폰이나 스마트폰의 녹화기능을 사용하여 녹화도 할 수 있기 때문에 사용의 편리성 제고와 원가 절감 효과가 크다. 핸드폰이나 스마트폰의 밧데리 충전포트에 연결하여 사용하는 내시경 카메라",거절
